! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
2.73842e+01  -8.305e-25  6.238e-27   -2.968e-29  -4.329e-25  0.000e+00   0.000e+00   0.000e+00   2.194e-23   9.696e-26   1.304e-24   4.619e-22   -9.056e-122 1.034e-26   3.084e-25   1.080e-25   0.000e+00   -2.194e-23  -1.131e-25  2.150e-23   -2.313e-25  2.941e-28   -1.220e-29  -9.696e-26  1.131e-25   -3.359e-25  
2.94273e+01  -8.405e-25  6.358e-27   -2.995e-29  -4.538e-25  0.000e+00   0.000e+00   0.000e+00   2.199e-23   9.723e-26   1.297e-24   4.651e-22   -9.831e-122 1.034e-26   3.084e-25   1.083e-25   0.000e+00   -2.199e-23  -1.179e-25  2.156e-23   -2.324e-25  2.935e-28   -1.220e-29  -9.723e-26  1.179e-25   -3.308e-25  
3.16228e+01  -8.508e-25  6.469e-27   -3.026e-29  -4.749e-25  0.000e+00   0.000e+00   0.000e+00   2.202e-23   9.742e-26   1.288e-24   4.681e-22   -1.067e-121 1.034e-26   3.084e-25   1.087e-25   0.000e+00   -2.202e-23  -1.226e-25  2.161e-23   -2.334e-25  2.926e-28   -1.220e-29  -9.742e-26  1.226e-25   -3.253e-25  
3.39821e+01  -8.610e-25  6.570e-27   -3.059e-29  -4.962e-25  0.000e+00   0.000e+00   0.000e+00   2.203e-23   9.754e-26   1.279e-24   4.706e-22   -1.157e-121 1.034e-26   3.084e-25   1.090e-25   0.000e+00   -2.203e-23  -1.273e-25  2.163e-23   -2.343e-25  2.914e-28   -1.221e-29  -9.754e-26  1.273e-25   -3.196e-25  
3.65174e+01  -8.714e-25  6.662e-27   -3.094e-29  -5.177e-25  0.000e+00   0.000e+00   0.000e+00   2.203e-23   9.759e-26   1.268e-24   4.728e-22   -1.254e-121 1.034e-26   3.084e-25   1.094e-25   0.000e+00   -2.203e-23  -1.319e-25  2.164e-23   -2.352e-25  2.901e-28   -1.221e-29  -9.759e-26  1.319e-25   -3.135e-25  
3.92419e+01  -8.822e-25  6.746e-27   -3.133e-29  -5.393e-25  0.000e+00   0.000e+00   0.000e+00   2.200e-23   9.757e-26   1.258e-24   4.747e-22   -1.358e-121 1.034e-26   3.084e-25   1.098e-25   0.000e+00   -2.200e-23  -1.366e-25  2.164e-23   -2.359e-25  2.884e-28   -1.222e-29  -9.757e-26  1.366e-25   -3.072e-25  
4.21697e+01  -8.932e-25  6.822e-27   -3.176e-29  -5.612e-25  0.000e+00   0.000e+00   0.000e+00   2.197e-23   9.750e-26   1.246e-24   4.761e-22   -1.471e-121 1.034e-26   3.084e-25   1.103e-25   0.000e+00   -2.197e-23  -1.412e-25  2.162e-23   -2.367e-25  2.866e-28   -1.223e-29  -9.750e-26  1.412e-25   -3.005e-25  
4.53158e+01  -9.048e-25  6.892e-27   -3.223e-29  -5.832e-25  0.000e+00   0.000e+00   0.000e+00   2.192e-23   9.737e-26   1.233e-24   4.772e-22   -1.592e-121 1.034e-26   3.084e-25   1.107e-25   0.000e+00   -2.192e-23  -1.458e-25  2.159e-23   -2.374e-25  2.845e-28   -1.224e-29  -9.737e-26  1.458e-25   -2.936e-25  
4.86968e+01  -9.164e-25  6.957e-27   -3.274e-29  -6.055e-25  0.000e+00   0.000e+00   0.000e+00   2.186e-23   9.719e-26   1.219e-24   4.780e-22   -1.723e-121 1.034e-26   3.084e-25   1.112e-25   0.000e+00   -2.186e-23  -1.504e-25  2.154e-23   -2.381e-25  2.821e-28   -1.226e-29  -9.719e-26  1.504e-25   -2.865e-25  
5.23299e+01  -9.289e-25  7.017e-27   -3.331e-29  -6.281e-25  0.000e+00   0.000e+00   0.000e+00   2.179e-23   9.696e-26   1.205e-24   4.783e-22   -1.863e-121 1.034e-26   3.084e-25   1.117e-25   0.000e+00   -2.179e-23  -1.550e-25  2.148e-23   -2.387e-25  2.796e-28   -1.228e-29  -9.696e-26  1.550e-25   -2.790e-25  
5.62341e+01  -9.416e-25  7.074e-27   -3.393e-29  -6.509e-25  0.000e+00   0.000e+00   0.000e+00   2.170e-23   9.669e-26   1.189e-24   4.783e-22   -2.014e-121 1.034e-26   3.084e-25   1.123e-25   0.000e+00   -2.170e-23  -1.597e-25  2.141e-23   -2.393e-25  2.768e-28   -1.231e-29  -9.669e-26  1.597e-25   -2.714e-25  
