!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.33352e+04   1.00000e+00   4.30103e+00   1.16814e+00   9.67908e-01   
1.43301e+04   1.00000e+00   4.30103e+00   1.16869e+00   9.67908e-01   
1.53993e+04   1.00000e+00   4.30103e+00   1.16923e+00   9.67908e-01   
1.65482e+04   1.00000e+00   4.30103e+00   1.16975e+00   9.67909e-01   
1.77828e+04   1.00000e+00   4.30103e+00   1.17023e+00   9.67909e-01   
1.91095e+04   1.00000e+00   4.30103e+00   1.17066e+00   9.67909e-01   
2.05353e+04   1.00000e+00   4.30103e+00   1.17104e+00   9.67909e-01   
2.20673e+04   1.00000e+00   4.30103e+00   1.17135e+00   9.67910e-01   
2.37137e+04   1.00000e+00   4.30103e+00   1.17156e+00   9.67910e-01   
2.54830e+04   1.00000e+00   4.30103e+00   1.17167e+00   9.67910e-01   
2.73842e+04   1.00000e+00   4.30103e+00   1.17164e+00   9.67910e-01   
2.94273e+04   1.00000e+00   4.30103e+00   1.17146e+00   9.67910e-01   
3.16228e+04   1.00000e+00   4.30103e+00   1.17111e+00   9.67909e-01   
3.39821e+04   1.00000e+00   4.30103e+00   1.17056e+00   9.67909e-01   
3.65174e+04   1.00000e+00   4.30103e+00   1.16979e+00   9.67909e-01   
3.92419e+04   1.00000e+00   4.30103e+00   1.16876e+00   9.67908e-01   
4.21697e+04   1.00000e+00   4.30103e+00   1.16746e+00   9.67907e-01   
4.53158e+04   1.00000e+00   4.30103e+00   1.16587e+00   9.67906e-01   
4.86968e+04   1.00000e+00   4.30103e+00   1.16396e+00   9.67905e-01   
5.23299e+04   1.00000e+00   4.30103e+00   1.16172e+00   9.67904e-01   
5.62341e+04   1.00000e+00   4.30103e+00   1.15914e+00   9.67902e-01   
6.04296e+04   1.00000e+00   4.30103e+00   1.15620e+00   9.67900e-01   
6.49382e+04   1.00000e+00   4.30103e+00   1.15290e+00   9.67898e-01   
6.97831e+04   1.00000e+00   4.30103e+00   1.14923e+00   9.67896e-01   
7.49894e+04   1.00000e+00   4.30103e+00   1.14518e+00   9.67894e-01   
8.05842e+04   1.00000e+00   4.30103e+00   1.14074e+00   9.67891e-01   
8.65964e+04   1.00000e+00   4.30103e+00   1.13595e+00   9.67888e-01   
9.30572e+04   1.00000e+00   4.30103e+00   1.13081e+00   9.67885e-01   
1.00000e+05   1.00000e+00   4.30103e+00   1.12536e+00   9.67882e-01   
1.07461e+05   1.00000e+00   4.30103e+00   1.11966e+00   9.67879e-01   
1.15478e+05   1.00000e+00   4.30103e+00   1.11397e+00   9.67876e-01   
1.24094e+05   1.00000e+00   4.30103e+00   1.10879e+00   9.67874e-01   
1.33352e+05   1.00000e+00   4.30103e+00   1.10436e+00   9.67872e-01   
1.43301e+05   1.00000e+00   4.30103e+00   1.10055e+00   9.67870e-01   
