! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
3.27812e+00  -5.453e-25  1.487e-26   -2.328e-29  -2.935e-26  0.000e+00   0.000e+00   0.000e+00   1.465e-23   6.435e-26   -7.601e-26  3.168e-22   -3.725e-121 1.034e-25   3.084e-24   9.609e-25   9.574e-27   5.740e-27   -1.465e-23  8.717e-26   1.365e-23   -1.834e-25  2.943e-27   -1.291e-29  -6.435e-26  -8.717e-26  -5.742e-25  
3.39821e+00  -5.501e-25  1.535e-26   -2.323e-29  -3.115e-26  0.000e+00   0.000e+00   0.000e+00   1.492e-23   6.552e-26   -7.636e-26  3.209e-22   -3.893e-121 1.034e-25   3.084e-24   9.614e-25   9.827e-27   5.948e-27   -1.492e-23  8.307e-26   1.392e-23   -1.860e-25  2.949e-27   -1.287e-29  -6.552e-26  -8.307e-26  -5.744e-25  
3.52269e+00  -5.548e-25  1.585e-26   -2.318e-29  -3.304e-26  0.000e+00   0.000e+00   0.000e+00   1.519e-23   6.670e-26   -7.672e-26  3.250e-22   -4.068e-121 1.034e-25   3.084e-24   9.619e-25   1.008e-26   6.164e-27   -1.519e-23  7.893e-26   1.419e-23   -1.886e-25  2.955e-27   -1.284e-29  -6.670e-26  -7.893e-26  -5.746e-25  
3.65174e+00  -5.592e-25  1.636e-26   -2.315e-29  -3.507e-26  0.000e+00   0.000e+00   0.000e+00   1.545e-23   6.789e-26   -7.711e-26  3.291e-22   -4.251e-121 1.034e-25   3.084e-24   9.623e-25   1.035e-26   6.388e-27   -1.545e-23  7.474e-26   1.447e-23   -1.912e-25  2.962e-27   -1.282e-29  -6.789e-26  -7.474e-26  -5.748e-25  
3.78552e+00  -5.637e-25  1.688e-26   -2.312e-29  -3.720e-26  0.000e+00   0.000e+00   0.000e+00   1.572e-23   6.908e-26   -7.751e-26  3.333e-22   -4.443e-121 1.034e-25   3.084e-24   9.628e-25   1.061e-26   6.620e-27   -1.572e-23  7.052e-26   1.474e-23   -1.938e-25  2.969e-27   -1.279e-29  -6.908e-26  -7.052e-26  -5.750e-25  
3.92419e+00  -5.684e-25  1.742e-26   -2.311e-29  -3.947e-26  0.000e+00   0.000e+00   0.000e+00   1.600e-23   7.027e-26   -7.794e-26  3.375e-22   -4.643e-121 1.034e-25   3.084e-24   9.633e-25   1.088e-26   6.861e-27   -1.600e-23  6.627e-26   1.502e-23   -1.965e-25  2.975e-27   -1.278e-29  -7.027e-26  -6.627e-26  -5.751e-25  
4.06794e+00  -5.731e-25  1.797e-26   -2.309e-29  -4.186e-26  0.000e+00   0.000e+00   0.000e+00   1.627e-23   7.147e-26   -7.838e-26  3.417e-22   -4.854e-121 1.034e-25   3.084e-24   9.639e-25   1.116e-26   7.109e-27   -1.627e-23  6.199e-26   1.529e-23   -1.991e-25  2.982e-27   -1.276e-29  -7.147e-26  -6.199e-26  -5.752e-25  
4.21697e+00  -5.773e-25  1.853e-26   -2.309e-29  -4.439e-26  0.000e+00   0.000e+00   0.000e+00   1.654e-23   7.266e-26   -7.885e-26  3.460e-22   -5.073e-121 1.034e-25   3.084e-24   9.644e-25   1.144e-26   7.367e-27   -1.654e-23  5.769e-26   1.557e-23   -2.018e-25  2.990e-27   -1.275e-29  -7.266e-26  -5.769e-26  -5.753e-25  
4.37144e+00  -5.818e-25  1.911e-26   -2.309e-29  -4.707e-26  0.000e+00   0.000e+00   0.000e+00   1.681e-23   7.386e-26   -7.934e-26  3.502e-22   -5.303e-121 1.034e-25   3.084e-24   9.649e-25   1.172e-26   7.634e-27   -1.681e-23  5.336e-26   1.585e-23   -2.044e-25  2.997e-27   -1.274e-29  -7.386e-26  -5.336e-26  -5.754e-25  
4.53158e+00  -5.865e-25  1.970e-26   -2.309e-29  -4.989e-26  0.000e+00   0.000e+00   0.000e+00   1.708e-23   7.506e-26   -7.985e-26  3.544e-22   -5.544e-121 1.034e-25   3.084e-24   9.655e-25   1.201e-26   7.911e-27   -1.708e-23  4.901e-26   1.612e-23   -2.071e-25  3.004e-27   -1.273e-29  -7.506e-26  -4.901e-26  -5.754e-25  
